Product Name,Price Before Discount,Current Price After Discount,Discount
Maybelline Superstay Skin Tint Shade  63 With Vitamin C,"KSh 2,500","KSh 1,875",25%
Garnier Pure Active 3 In1 Charcoal  Anti  Blackhead Mask Wash Scrub -150ml,"KSh 1,345",KSh 799,41%
Dr. Rashel Effective Fat Burning Tummy Slimming Line Cream- 150ml,KSh 689,KSh 391,43%
NIVEA MEN Black & White Original Anti-Perspirant Spray 48h - 150ml (Pack Of 2).,"KSh 1,440","KSh 1,220",15%
"TCL 43S5400 S Series, 43"" Full HD Smart TV - Black","KSh 39,999","KSh 26,899",33%
"Skyworth 43E5500G, 43-inches Full HD 2024 Frameless Google TV, Black (1YR WRTY)","KSh 45,999","KSh 26,999",41%
"Amtec 43L12, 43"" FHD Smart Android TV, Netfix, Youtube, Bluetooth - Black (1 YR WRTY)","KSh 28,000","KSh 19,599",30%
Hisense 43A4K Smart 43 inches TV (2YRs WRTY),"KSh 36,000","KSh 30,499",15%
Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black,"KSh 26,322","KSh 18,820",29%
"Vision Plus VP8843SF - 43"" FHD Frameless Android OS Smart TV - Black (2YRs WRTY)","KSh 24,000","KSh 21,399",11%
"TCL 50"" P635 4K HDR Google TV - Black","KSh 49,999","KSh 41,099",18%
"Skyworth 50SUE9500, 50-inches 4K QLED 2022 Frameless Smart Android TV, Black (1YR WRTY)","KSh 54,999","KSh 43,199",21%
"Amtec 32R1S, 32"" Inch Smart Android TV 1GB DDR,8GB ROM,4-CORE LED TV","KSh 19,000","KSh 11,599",39%
Hisense 32 Inch 32A4KKEN Smart tv (2YRs WRTY),"KSh 25,000","KSh 18,199",27%
Vitron HTC5068US 50&rdquo; Smart Android 4K UHD LED TV - Black (1YR WRTY),"KSh 39,999","KSh 34,000",15%
"TCL 50"" C645&nbsp;QLED 4K Quantum Dot Google TV Smart TV - Black","KSh 70,999","KSh 52,299",26%
"Hisense 55"" Inch (55A6K) VIDAA OS LED Frameless Smart TV - Black (2YRS WRTY)","KSh 70,000","KSh 53,120",24%
"Solarmax  32"" inches Bluetooth Connectivity TV Smart Android Television with Wi-fi Connectivity, Inbuilt decoder Netflix Youtube Appstore","KSh 13,999","KSh 12,599",10%
"Amtec 65"" 4k  HDR Smart WebOS  LED TV, Frameless With Bluetooth & Dolby Audio.(1YR WRTY)","KSh 75,000","KSh 63,999",15%
Logitech Wireless Mouse M171 (1YR WRTY),"KSh 3,998","KSh 1,999",50%
"Sandisk Ultra Flair Sandisk Sandisk Cruzer Blade 16GB, 32GB, 64GB, 128GB USB 3.0 Flash DriveSanDisk 100% Original USB Flash Drive Usb 3.0 Flash Disk Pendrive Memory Stick Memory, (1YR WRTY)","KSh 1,598 - KSh 3,798","KSh 799 - KSh 1,899",50%
"Logitech H151 Stereo Headset With Noise-Cancelling 1YR WRTY , 1YR WRTY","KSh 5,998","KSh 2,999",50%
Toshiba Refurbished Dynabook Portege X20W-D 12-inch X360 Touchscreen Intel Core I3-7100U Processor 8GB RAM 256GB SSD (6M WRTY),"KSh 30,000","KSh 20,900",30%
"HP 15s Laptop, Celeron N4120, 4GB RAM, 256GB SSD, 15.6"" HD Display, Windows 11 Pro, Silver (1YR WRTY)","KSh 35,000","KSh 29,499",16%
"Infinix InBook X2 - 14.0"", Intel Core i5, 8GB RAM, 512GB SSD - Windows 11 Home - Grey (1YR WRTY)","KSh 96,999","KSh 48,500",50%
